loss,accuracy,auc,round
0.6940267086029053,0.2801391199231148,0.4961158722639084,1
0.6934854686260223,0.4070222094655037,0.5004745572805405,2
0.6931338369846344,0.5123798161745071,0.5003875970840455,3
0.6929763615131378,0.5679253965616227,0.4999368697404861,4
0.6927983939647675,0.6135855495929718,0.5000899314880372,5
0.692624169588089,0.6564554035663605,0.5002595275640488,6
0.6921303451061249,0.7260944068431854,0.5005593925714493,7
0.6917199075222016,0.7853423357009888,0.4985577821731567,8
0.6914679408073425,0.7874408602714539,0.495318803191185,9
0.6912432670593261,0.7950519800186158,0.4951948046684265,10
0.690869927406311,0.7973531424999237,0.5071483790874481,11
0.6902866959571838,0.7994936823844909,0.4794717043638229,12
0.6901992499828339,0.7999091029167176,0.4796922534704208,13
0.6897766649723053,0.800000011920929,0.49125920832157133,14
0.6893824279308319,0.800000011920929,0.4969960778951645,15
0.6890912532806397,0.800000011920929,0.4913968563079834,16
0.6885765373706818,0.800000011920929,0.49450737833976743,17
0.6880334138870239,0.800000011920929,0.498831644654274,18
0.687713360786438,0.800000011920929,0.5007935762405396,19
0.6873028099536895,0.800000011920929,0.5008928537368774,20
0.6869035542011261,0.800000011920929,0.5,21
0.6865806639194488,0.800000011920929,0.5001045167446136,22
0.6864330351352692,0.800000011920929,0.49961835741996763,23
0.6859670639038086,0.800000011920929,0.4987416386604309,24
0.6856826066970825,0.800000011920929,0.4998952209949493,25
0.6853702604770661,0.800000011920929,0.5032080858945847,26
0.6849818110466004,0.800000011920929,0.5066666811704635,27
0.6848967254161835,0.800000011920929,0.5001518428325653,28
0.6842872679233551,0.800000011920929,0.5159655898809433,29
0.6839231610298157,0.800000011920929,0.5058306902647018,30
0.6837507724761963,0.800000011920929,0.5027748584747315,31
0.6829409599304199,0.800000011920929,0.5022609084844589,32
0.6829186022281647,0.800000011920929,0.4990526884794235,33
0.6826992452144622,0.800000011920929,0.5080604076385498,34
0.6824334979057312,0.800000011920929,0.5007159411907196,35
0.6821961045265198,0.800000011920929,0.49669409096240996,36
0.6818171620368958,0.800000011920929,0.49699010848999026,37
0.6816742897033692,0.800000011920929,0.5001367896795272,38
0.6811455607414245,0.800000011920929,0.49970930218696596,39
0.6809542357921601,0.800000011920929,0.5,40
0.6808566153049469,0.800000011920929,0.5001543223857879,41
0.68036989569664,0.800000011920929,0.5004939377307892,42
0.6801965475082398,0.800000011920929,0.4996405094861984,43
0.6799079000949859,0.800000011920929,0.499880251288414,44
0.6794848203659057,0.800000011920929,0.5059541702270508,45
0.6790183484554291,0.800000011920929,0.5006153583526611,46
0.6788655281066894,0.800000011920929,0.5016332626342773,47
0.6787307739257813,0.800000011920929,0.4994975090026855,48
0.6785562455654144,0.800000011920929,0.49072596430778503,49
0.6779508590698242,0.800000011920929,0.5060212135314941,50
